round,train_loss,train_acc
1,0.6691935359697188,0.9533333333333334
2,0.3120275158550818,0.95
3,0.2266820428775039,0.9733333333333334
4,0.19352392684130215,0.9766666666666668
5,0.17148328826970927,0.9733333333333334
6,0.158395343053347,0.9766666666666668
7,0.15149448156557246,0.9966666666666667
8,0.13894642157112533,0.9766666666666668
9,0.13636515747635627,0.99
10,0.13124925752768526,0.99
