round,train_loss,train_acc
1,0.1789966666930599,0.345
2,0.09792074104279223,0.45999999999999996
3,0.10191657179120157,0.41083333333333333
4,0.06353819199364422,0.42666666666666664
5,0.07685504993672701,0.4525
6,0.06253768382541296,0.6525
7,0.06863469301932298,0.65
8,0.05648368276158476,0.5741666666666666
9,0.043526883254072196,0.45499999999999996
10,0.0466826770677385,0.63
11,0.0434735853550621,0.6491666666666667
12,0.04825991487861721,0.49333333333333335
13,0.056600332510193786,0.465
14,0.04728122554841681,0.4083333333333333
15,0.052994483134668334,0.2975
16,0.05663938627766239,0.26916666666666667
