round,mean_R,spearman_R_acc
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,0.9962654113769531,0.18045112490653992
5,0.9947582483291626,0.048120301216840744
6,0.9724874496459961,0.20150375366210938
7,0.9781988859176636,0.21804511547088623
8,0.9728332757949829,0.3458646535873413
9,0.9459429979324341,0.02857142873108387
10,0.9191875457763672,0.0781954899430275
11,0.8953788876533508,-0.12481202930212021
12,0.9367151260375977,0.08571428805589676
13,0.9325240254402161,0.05263157933950424
14,0.9205320477485657,0.1984962373971939
15,0.9361129999160767,0.4421052634716034
