round,mean_R,spearman_R_acc
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,0.9945123791694641,-0.11127819865942001
5,0.9637041091918945,-0.0646616518497467
6,0.9582929611206055,0.01804511249065399
7,0.9365783929824829,-0.14135338366031647
8,0.9624106287956238,0.08120300620794296
9,0.9405916929244995,-0.0827067643404007
10,0.9522411227226257,0.004511278122663498
11,0.9504377245903015,-0.13533835113048553
12,0.9562166333198547,-0.15488721430301666
13,0.9493168592453003,-0.26015037298202515
14,0.9155116081237793,-0.30075186491012573
15,0.962497353553772,-0.0691729336977005
16,0.9165442585945129,-0.09924811869859695
17,0.9376641511917114,-0.1609022617340088
18,0.941506564617157,-0.031578946858644485
19,0.9384794235229492,-0.1338345855474472
20,0.891767680644989,0.18345864117145538
21,0.8627659678459167,0.0646616518497467
22,0.8825688362121582,-0.21804511547088623
23,0.8605189323425293,-0.02857142873108387
24,0.8265689611434937,0.3909774422645569
25,0.8964182138442993,0.26015037298202515
26,0.8428503274917603,0.3969924747943878
27,0.8563482165336609,0.4045112729072571
28,0.9091560244560242,0.34887218475341797
29,0.900317370891571,0.21804511547088623
30,0.8909899592399597,0.2075188010931015
