round,mean_R,spearman_R_acc
1,1.0,0.0
2,1.0,0.0
3,0.9993033409118652,0.15789473056793213
4,0.9997501373291016,-0.05864661559462547
5,0.9961743354797363,-0.45413532853126526
6,0.996311366558075,-0.28270676732063293
7,0.998201847076416,-0.07218044996261597
8,0.9931203126907349,0.6992481350898743
9,0.9913732409477234,0.38045111298561096
10,0.9929184913635254,0.3774436116218567
11,0.9905505180358887,0.415037602186203
12,0.9943934679031372,0.20150375366210938
13,0.9931438565254211,0.2120300680398941
14,0.9946712255477905,0.38947367668151855
15,0.993425190448761,0.5097744464874268
16,0.997470498085022,0.4135338366031647
17,0.9954220056533813,0.11127819865942001
18,0.995179295539856,-0.17142857611179352
19,0.9938233494758606,-0.05263157933950424
20,0.9911586046218872,-0.37142857909202576
21,0.9872023463249207,-0.46315789222717285
22,0.9927968978881836,-0.3263157904148102
23,0.9904343485832214,-0.19548872113227844
24,0.9914649724960327,-0.19548872113227844
25,0.9892120361328125,-0.23157894611358643
26,0.9945226907730103,0.11578947305679321
27,0.9928501844406128,-0.16240601241588593
28,0.9878833889961243,0.0646616518497467
29,0.9920690655708313,-0.3052631616592407
30,0.9931305050849915,0.37142857909202576
